minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
1,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
1,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
1,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
1,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
1,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
2,Chelsea,0,0.023999612778425217,0.9952000774443149,0.004799922555685043,0.0,0.0,0.0,0.9769999694824218,0.5870000076293945,BlockedShot,0.023999612778425217,2': Shot by Marc Cucurella - 0.02 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
2,Chelsea,0,0.023999612778425217,0.9904001548886299,0.009599845111370086,0.0,0.0,0.0,,,,,2': Shot by Marc Cucurella - 0.02 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
2,Chelsea,0,0.023999612778425217,0.9856002323329449,0.014399767667055129,0.0,0.0,0.0,,,,,2': Shot by Marc Cucurella - 0.02 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
2,Chelsea,0,0.023999612778425217,0.9808003097772598,0.019199690222740172,0.0,0.0,0.0,,,,,2': Shot by Marc Cucurella - 0.02 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
2,Chelsea,0,0.023999612778425217,0.9760003872215748,0.023999612778425217,0.0,0.0,0.0,,,,,2': Shot by Marc Cucurella - 0.02 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
3,Chelsea,0,0.023999612778425217,0.9760003872215748,0.023999612778425217,0.0,0.0,0.0,,,,,2': Shot by Marc Cucurella - 0.02 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
3,Chelsea,0,0.023999612778425217,0.9760003872215748,0.023999612778425217,0.0,0.0,0.0,,,,,2': Shot by Marc Cucurella - 0.02 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
3,Chelsea,0,0.023999612778425217,0.9760003872215748,0.023999612778425217,0.0,0.0,0.0,,,,,2': Shot by Marc Cucurella - 0.02 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
3,Chelsea,0,0.023999612778425217,0.9760003872215748,0.023999612778425217,0.0,0.0,0.0,,,,,2': Shot by Marc Cucurella - 0.02 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
3,Chelsea,0,0.023999612778425217,0.9760003872215748,0.023999612778425217,0.0,0.0,0.0,,,,,2': Shot by Marc Cucurella - 0.02 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,CHECRY20250817
4,Chelsea,0,0.023999612778425217,0.9760003872215748,0.023999612778425217,0.0,0.0,0.0,,,,,2': Shot by Marc Cucurella - 0.02 xG,Crystal Palace,0,0.0071087428368628025,0.9985782514326275,0.0014217485673725604,0.0,0.0,0.0,0.43000000000000005,0.11800003051757812,MissedShots,0.0071087428368628025,4': Shot by Eberechi Eze - 0.01 xG,CHECRY20250817
4,Chelsea,0,0.023999612778425217,0.9760003872215748,0.023999612778425217,0.0,0.0,0.0,,,,,2': Shot by Marc Cucurella - 0.02 xG,Crystal Palace,0,0.0071087428368628025,0.9971565028652549,0.002843497134745121,0.0,0.0,0.0,,,,,4': Shot by Eberechi Eze - 0.01 xG,CHECRY20250817
