minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
0,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
0,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
0,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
0,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
1,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
1,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
1,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
1,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
1,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
2,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
2,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
2,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
2,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
2,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
3,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
3,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
3,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
3,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
3,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
4,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
4,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
4,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
4,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
4,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
5,West Ham,1,0.015151547268033028,0.9969696905463934,0.0030303094536066055,0.0,0.0,0.0,0.754000015258789,0.7290000152587891,Goal,0.015151547268033028,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
5,West Ham,1,0.015151547268033028,0.9939393810927868,0.006060618907213211,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
5,West Ham,1,0.015151547268033028,0.9909090716391802,0.009090928360819817,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
5,West Ham,1,0.015151547268033028,0.9878787621855736,0.012121237814426422,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
5,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
6,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
6,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
6,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
6,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
6,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
7,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
7,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
7,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
7,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
7,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
8,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
8,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
8,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
8,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
8,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
9,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
9,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
9,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
9,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
9,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
10,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
10,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
10,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
10,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
10,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
11,West Ham,1,0.015151547268033028,0.984848452731967,0.015151547268033028,0.0,0.0,0.0,,,,,5': Goal scored by Lucas Paquetá - 0.02 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WHUCHE20250822
